close,high,low,ema_5,open,ma_5,ema_10,ma_10,ma_20,lower_band,upper_band
101300.01,101415.25,100671.62,100951.4791953709,100671.62,100693.662,101265.38481697135,100751.315,102575.209,98675.78603109323,106474.63196890678
101200.01,101392.15,101015.44,101034.32279691394,101300.01,100979.87,101253.49848661291,100786.649,102408.658,98577.00934087524,106240.30665912475
101656.57,101727.28,101124.46,101241.73853127597,101200.01,101204.272,101326.78421631965,100851.25099999999,102240.07,98601.91572329092,105878.2242767091
101640.4,101820.0,101380.1,101374.62568751733,101656.57,101293.722,101383.80526789789,100900.046,102076.0895,98657.51716985386,105494.66183014614
101815.99,101873.08,101537.56,101521.74712501156,101640.4,101522.59599999999,101462.38431009826,101061.24399999999,101937.86,98728.51325945414,105147.20674054587
102409.34,102609.72,101758.19,101817.6114166744,101815.99,101744.462,101634.55807189857,101219.062,101857.33050000001,98790.28550425665,104924.37549574337
102449.99,102514.05,102176.38,102028.40427778295,102409.34,101994.45800000001,101782.81842246247,101487.16399999999,101758.403,98921.55791163647,104595.24808836354
101988.0,102559.21,101882.09,102014.93618518864,102450.0,102060.74399999999,101820.12416383292,101632.508,101647.822,99049.23376169916,104246.41023830084
101952.44,102216.07,101667.0,101994.1041234591,101987.99,102123.152,101844.18158859058,101708.437,101512.635,99324.04243502283,103701.22756497716
100942.41,102800.11,100694.07,101643.5394156394,101952.44,101948.43600000002,101680.22311793774,101735.516,101319.306,99765.7782018459,102872.8337981541
100679.86,101063.38,99500.0,101322.3129437596,100942.41,101602.54000000001,101498.33891467632,101673.501,101212.408,99805.75581361687,102619.06018638313
100716.3,101200.0,99830.0,101120.30862917309,100679.86,101255.802,101356.1500210988,101625.13,101205.8895,99790.91742885341,102620.8615711466
98855.86,100748.87,97500.0,100365.49241944874,100716.3,100629.374,100901.55183544446,101345.05900000001,101098.155,99335.23039637005,102861.07960362994
98932.73,98952.73,96900.0,99887.90494629917,98855.86,100025.432,100543.58422900001,101074.292,100987.169,98976.5498421244,102997.78815787559
97199.72,99064.06,96251.32,98991.84329753279,98932.72,99276.894,99935.60891463637,100612.66500000001,100836.95449999999,98221.91928322223,103451.98971677775
96409.54,97312.0,95700.0,98131.07553168852,97199.72,98422.82999999999,99294.50547561157,100012.68500000001,100615.8735,97335.7299525618,103896.0170474382
97417.66,98090.9,95828.98,97893.27035445902,96409.55,97763.102,98953.26084368219,99509.452,100498.308,96934.10692605969,104062.50907394032
98391.21,98500.0,97231.02,98059.25023630602,97417.66,97670.17199999999,98851.06978119451,99149.77300000002,100391.14050000001,96704.7326216478,104077.54837835222
97461.86,98400.01,97455.3,97860.12015753736,98391.21,97375.998,98598.48618461369,98700.715,100204.576,96316.89090275479,104092.26109724521
97248.22,97814.09,96648.78,97656.15343835825,97461.86,97385.698,98352.98324195665,98331.296,100033.406,95936.4782538731,104130.33374612691
96319.99,97542.68,96159.84,97210.76562557217,97248.22,97367.78800000002,97983.34810705544,97895.309,99784.405,95415.30239957612,104153.50760042388
97632.59,97731.91,96000.0,97351.37375038145,96319.99,97410.774,97919.57390577263,97586.93800000001,99606.034,95189.2461868042,104022.8218131958
97106.02,97784.81,96969.7,97269.58916692098,97632.59,97153.736,97771.65501381397,97411.954,99378.50649999999,94937.7131584769,103819.29984152308
