open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,average_price,price_change
3352.64,3352.64,3329.0,3339.88,8990.5065,30027345.871722,41549,5025.5477,16787950.197903,3340.8199999999997,-12.759999999999764
3339.88,3345.98,3328.47,3337.78,6082.7883,20306231.462532,55808,3443.5936,11496728.310879,3337.225,-2.099999999999909
3337.78,3365.71,3335.84,3363.7,8894.4444,29821272.008211,54290,5447.5324,18265028.781159,3350.775,25.919999999999618
3363.69,3366.4,3342.67,3346.54,6138.1376,20594980.615146,46722,3381.6276,11348564.273757,3354.535,-17.15000000000009
3346.54,3368.42,3346.35,3362.61,8775.81,29461419.591325,44926,4749.999,15945033.486324,3357.385,16.070000000000164
3362.61,3363.72,3351.0,3355.2,4025.4646,13514045.153526,22334,2120.5609,7118731.551924,3357.3599999999997,-7.410000000000309
3355.2,3356.61,3339.45,3341.14,4626.6506,15488161.894969,22341,2331.6731,7805696.979522,3348.0299999999997,-14.059999999999945
3341.14,3351.57,3340.02,3345.41,3247.0621,10867391.533464,21388,1894.0039,6338939.554774,3345.795,4.269999999999982
3345.41,3348.0,3336.88,3346.6,6325.1491,21140695.620565,25641,2074.2864,6934002.717033,3342.44,1.1900000000000546
3346.61,3350.49,3339.35,3347.12,5869.4211,19625068.233604,19809,3939.0253,13171481.48967,3344.92,0.5099999999997635
3347.11,3348.84,3331.56,3337.01,8469.9751,28278767.529896,46052,3837.9354,12812434.753562,3340.2,-10.099999999999909
3337.0,3341.0,3313.88,3334.64,18722.6924,62229421.935142,83422,8514.2489,28301959.23416,3327.44,-2.3600000000001273
3334.83,3338.82,3325.7,3326.69,5694.9502,18977736.862663,37356,2123.9246,7079453.78606,3332.26,-8.139999999999873
3326.69,3348.35,3323.71,3341.0,6732.5827,22454456.62237,44031,4415.7242,14726137.391435,3336.0299999999997,14.309999999999945
3341.01,3352.31,3338.58,3347.46,5866.8953,19637051.889393,41652,3404.9374,11397019.591878,3345.4449999999997,6.449999999999818
3347.46,3353.5,3332.51,3343.37,6632.2317,22160117.15103,42125,3538.8257,11823762.262911,3343.005,-4.0900000000001455
3343.37,3359.37,3328.2,3345.86,10728.9812,35871017.645023,92956,5302.2369,17732886.056626,3343.785,2.4900000000002365
3345.86,3355.91,3333.42,3352.93,7671.632,25666642.189719,61491,4245.4013,14205594.37625,3344.665,7.069999999999709
3352.93,3357.19,3332.26,3338.68,9897.787,33103234.857482,80587,4475.8184,14970001.110951,3344.7250000000004,-14.25
3338.68,3344.81,3323.03,3343.7,6245.6219,20822635.175179,65178,3590.1183,11971872.889975,3333.92,5.019999999999982
3343.71,3352.0,3333.26,3348.57,7571.9247,25315460.403247,60088,4353.2154,14553928.918721,3342.63,4.860000000000127
